No.,Name,Type,Abilities,HP,Att,Def,S.Att,S.Def,Spd,Total
#0001,Bulbasaur (/pokemon/bulbasaur),grass | poison,Overgrow (/abilitydex/overgrow.shtml) | Chlorophyll (/abilitydex/chlorophyll.shtml),45,49,49,65,65,45,318
#0002,Ivysaur (/pokemon/ivysaur),grass | poison,Overgrow (/abilitydex/overgrow.shtml) | Chlorophyll (/abilitydex/chlorophyll.shtml),60,62,63,80,80,60,405
#0003,Venusaur (/pokemon/venusaur),grass | poison,Overgrow (/abilitydex/overgrow.shtml) | Chlorophyll (/abilitydex/chlorophyll.shtml),80,82,83,100,100,80,525
#0004,Charmander (/pokemon/charmander),fire,Blaze (/abilitydex/blaze.shtml) | Solar Power (/abilitydex/solarpower.shtml),39,52,43,60,50,65,309
#0005,Charmeleon (/pokemon/charmeleon),fire,Blaze (/abilitydex/blaze.shtml) | Solar Power (/abilitydex/solarpower.shtml),58,64,58,80,65,80,405
#0006,Charizard (/pokemon/charizard),fire | flying,Blaze (/abilitydex/blaze.shtml) | Solar Power (/abilitydex/solarpower.shtml),78,84,78,109,85,100,534
#0007,Squirtle (/pokemon/squirtle),water,Torrent (/abilitydex/torrent.shtml) | Rain Dish (/abilitydex/raindish.shtml),44,48,65,50,64,43,314
#0008,Wartortle (/pokemon/wartortle),water,Torrent (/abilitydex/torrent.shtml) | Rain Dish (/abilitydex/raindish.shtml),59,63,80,65,80,58,405
#0009,Blastoise (/pokemon/blastoise),water,Torrent (/abilitydex/torrent.shtml) | Rain Dish (/abilitydex/raindish.shtml),79,83,100,85,105,78,530
#0010,Caterpie (/pokemon/caterpie),bug,Shield Dust (/abilitydex/shielddust.shtml) | Run Away (/abilitydex/runaway.shtml),45,30,35,20,20,45,195
#0011,Metapod (/pokemon/metapod),bug,Shed Skin (/abilitydex/shedskin.shtml),50,20,55,25,25,30,205
#0012,Butterfree (/pokemon/butterfree),bug | flying,Compoundeyes (/abilitydex/compoundeyes.shtml) | Tinted Lens (/abilitydex/tintedlens.shtml),60,45,50,90,80,70,395
#0013,Weedle (/pokemon/weedle),bug | poison,Shield Dust (/abilitydex/shielddust.shtml) | Run Away (/abilitydex/runaway.shtml),40,35,30,20,20,50,195
#0014,Kakuna (/pokemon/kakuna),bug | poison,Shed Skin (/abilitydex/shedskin.shtml),45,25,50,25,25,35,205
#0015,Beedrill (/pokemon/beedrill),bug | poison,Swarm (/abilitydex/swarm.shtml) | Sniper (/abilitydex/sniper.shtml),65,90,40,45,80,75,395
#0016,Pidgey (/pokemon/pidgey),normal | flying,Keen Eye (/abilitydex/keeneye.shtml) | Tangled Feet (/abilitydex/tangledfeet.shtml) | Big Pecks (/abilitydex/bigpecks.shtml),40,45,40,35,35,56,251
#0017,Pidgeotto (/pokemon/pidgeotto),normal | flying,Keen Eye (/abilitydex/keeneye.shtml) | Tangled Feet (/abilitydex/tangledfeet.shtml) | Big Pecks (/abilitydex/bigpecks.shtml),63,60,55,50,50,71,349
#0018,Pidgeot (/pokemon/pidgeot),normal | flying,Keen Eye (/abilitydex/keeneye.shtml) | Tangled Feet (/abilitydex/tangledfeet.shtml) | Big Pecks (/abilitydex/bigpecks.shtml),83,80,75,70,70,101,479
#0019,Rattata (/pokemon/rattata),normal,Run Away (/abilitydex/runaway.shtml) | Guts (/abilitydex/guts.shtml) | Hustle (/abilitydex/hustle.shtml),30,56,35,25,35,72,253
#0020,Raticate (/pokemon/raticate),normal,Run Away (/abilitydex/runaway.shtml) | Guts (/abilitydex/guts.shtml) | Hustle (/abilitydex/hustle.shtml),55,81,60,50,70,97,413
#0021,Spearow (/pokemon/spearow),normal | flying,Keen Eye (/abilitydex/keeneye.shtml) | Sniper (/abilitydex/sniper.shtml),40,60,30,31,31,70,262
#0022,Fearow (/pokemon/fearow),normal | flying,Keen Eye (/abilitydex/keeneye.shtml) | Sniper (/abilitydex/sniper.shtml),65,90,65,61,61,100,442
#0023,Ekans (/pokemon/ekans),poison,Intimidate (/abilitydex/intimidate.shtml) | Shed Skin (/abilitydex/shedskin.shtml) | Unnerve (/abilitydex/unnerve.shtml),35,60,44,40,54,55,288
#0024,Arbok (/pokemon/arbok),poison,Intimidate (/abilitydex/intimidate.shtml) | Shed Skin (/abilitydex/shedskin.shtml) | Unnerve (/abilitydex/unnerve.shtml),60,95,69,65,79,80,448
#0025,Pikachu (/pokemon/pikachu),electric,Static (/abilitydex/static.shtml) | Lightning Rod (/abilitydex/lightningrod.shtml),35,55,40,50,50,90,320
#0026,Raichu (/pokemon/raichu),electric,Static (/abilitydex/static.shtml) | Lightning Rod (/abilitydex/lightningrod.shtml),60,90,55,90,80,110,485
#0027,Sandshrew (/pokemon/sandshrew),ground,Sand Veil (/abilitydex/sandveil.shtml) | Sand Rush (/abilitydex/sandrush.shtml),50,75,85,20,30,40,300
#0028,Sandslash (/pokemon/sandslash),ground,Sand Veil (/abilitydex/sandveil.shtml) | Sand Rush (/abilitydex/sandrush.shtml),75,100,110,45,55,65,450
#0029,Nidoran♀ (/pokemon/nidoranf),poison,Poison Point (/abilitydex/poisonpoint.shtml) | Rivalry (/abilitydex/rivalry.shtml) | Hustle (/abilitydex/hustle.shtml),55,47,52,40,40,41,275
#0030,Nidorina (/pokemon/nidorina),poison,Poison Point (/abilitydex/poisonpoint.shtml) | Rivalry (/abilitydex/rivalry.shtml) | Hustle (/abilitydex/hustle.shtml),70,62,67,55,55,56,365
#0031,Nidoqueen (/pokemon/nidoqueen),poison | ground,Poison Point (/abilitydex/poisonpoint.shtml) | Rivalry (/abilitydex/rivalry.shtml) | Sheer Force (/abilitydex/sheerforce.shtml),90,92,87,75,85,76,505
#0032,Nidoran♂ (/pokemon/nidoranm),poison,Poison Point (/abilitydex/poisonpoint.shtml) | Rivalry (/abilitydex/rivalry.shtml) | Hustle (/abilitydex/hustle.shtml),46,57,40,40,40,50,273
#0033,Nidorino (/pokemon/nidorino),poison,Poison Point (/abilitydex/poisonpoint.shtml) | Rivalry (/abilitydex/rivalry.shtml) | Hustle (/abilitydex/hustle.shtml),61,72,57,55,55,65,365
#0034,Nidoking (/pokemon/nidoking),poison | ground,Poison Point (/abilitydex/poisonpoint.shtml) | Rivalry (/abilitydex/rivalry.shtml) | Sheer Force (/abilitydex/sheerforce.shtml),81,102,77,85,75,85,505
#0035,Clefairy (/pokemon/clefairy),fairy,Cute Charm (/abilitydex/cutecharm.shtml) | Magic Guard (/abilitydex/magicguard.shtml) | Friend Guard (/abilitydex/friendguard.shtml),70,45,48,60,65,35,323
#0036,Clefable (/pokemon/clefable),fairy,Cute Charm (/abilitydex/cutecharm.shtml) | Magic Guard (/abilitydex/magicguard.shtml) | Unaware (/abilitydex/unaware.shtml),95,70,73,95,90,60,483
#0037,Vulpix (/pokemon/vulpix),fire,Flash Fire (/abilitydex/flashfire.shtml) | Drought (/abilitydex/drought.shtml),38,41,40,50,65,65,299
#0038,Ninetales (/pokemon/ninetales),fire,Flash Fire (/abilitydex/flashfire.shtml) | Drought (/abilitydex/drought.shtml),73,76,75,81,100,100,505
#0039,Jigglypuff (/pokemon/jigglypuff),normal | fairy,Cute Charm (/abilitydex/cutecharm.shtml) | Competitive (/abilitydex/competitive.shtml) | Friend Guard (/abilitydex/friendguard.shtml),115,45,20,45,25,20,270
#0040,Wigglytuff (/pokemon/wigglytuff),normal | fairy,Cute Charm (/abilitydex/cutecharm.shtml) | Competitive (/abilitydex/competitive.shtml) | Frisk (/abilitydex/frisk.shtml),140,70,45,85,50,45,435
#0041,Zubat (/pokemon/zubat),poison | flying,Inner Focus (/abilitydex/innerfocus.shtml) | Infiltrator (/abilitydex/infiltrator.shtml),40,45,35,30,40,55,245
#0042,Golbat (/pokemon/golbat),poison | flying,Inner Focus (/abilitydex/innerfocus.shtml) | Infiltrator (/abilitydex/infiltrator.shtml),75,80,70,65,75,90,455
#0043,Oddish (/pokemon/oddish),grass | poison,Chlorophyll (/abilitydex/chlorophyll.shtml) | Run Away (/abilitydex/runaway.shtml),45,50,55,75,65,30,320
#0044,Gloom (/pokemon/gloom),grass | poison,Chlorophyll (/abilitydex/chlorophyll.shtml) | Stench (/abilitydex/stench.shtml),60,65,70,85,75,40,395
#0045,Vileplume (/pokemon/vileplume),grass | poison,Chlorophyll (/abilitydex/chlorophyll.shtml) | Effect Spore (/abilitydex/effectspore.shtml),75,80,85,110,90,50,490
#0046,Paras (/pokemon/paras),bug | grass,Effect Spore (/abilitydex/effectspore.shtml) | Dry Skin (/abilitydex/dryskin.shtml) | Damp (/abilitydex/damp.shtml),35,70,55,45,55,25,285
#0047,Parasect (/pokemon/parasect),bug | grass,Effect Spore (/abilitydex/effectspore.shtml) | Dry Skin (/abilitydex/dryskin.shtml) | Damp (/abilitydex/damp.shtml),60,95,80,60,80,30,405
#0048,Venonat (/pokemon/venonat),bug | poison,Compoundeyes (/abilitydex/compoundeyes.shtml) | Tinted Lens (/abilitydex/tintedlens.shtml) | Run Away (/abilitydex/runaway.shtml),60,55,50,40,55,45,305
#0049,Venomoth (/pokemon/venomoth),bug | poison,Shield Dust (/abilitydex/shielddust.shtml) | Tinted Lens (/abilitydex/tintedlens.shtml) | Wonder Skin (/abilitydex/wonderskin.shtml),70,65,60,90,75,90,450
